type,Mã trạm/LakeCode,Trạm/Hồ,Tên sông/Lưu vực,Tên tỉnh,Thời gian (UTC),Mực nước (m),Cảnh báo/Xu thế,Cảnh báo value (0-4),Chênh lệch cảnh báo (m),BĐ1 (m),BĐ2 (m),BĐ3 (m),Mực nước lịch sử (m),Năm lũ lịch sử,x,y,Dung tích (m3),Dung tích TK (m3),Tỷ lệ dung tích (%),Q đến (m3/s),Q xả (m3/s),Mực nước BT (m),Mực nước GC (m),Mã Cảnh báo,province_code,basin_code
Lake,545B2C88-D719-42F1-8663-A1E796F44C14,Ialy,Sê San,Quảng Ngãi,2025-11-10 17:00,514.38,Xuong,,,,,,,,107.8458502256324,14.281037003640876,1022.38556,1037.09,98.58,,11.0,515.0,517.86,1.0,62.0,4.0
Lake,545B2C88-D719-42F1-8663-A1E796F44C14,Ialy,Sê San,Quảng Ngãi,2025-11-11 17:00,514.58,Len,,,,,,,,107.8458502256324,14.281037003640876,1013.43,1037.09,97.72,,1.0,515.0,517.86,1.0,62.0,4.0
Lake,545B2C88-D719-42F1-8663-A1E796F44C14,Ialy,Sê San,Quảng Ngãi,2025-11-14 17:00,514.86,Xuong,,,,,,,,107.8458502256324,14.281037003640876,1029.17,1037.09,99.24,,22.0,515.0,517.86,1.0,62.0,4.0
Lake,467D6521-FEAE-40F3-BC73-8E4B0B1F598F,Pleikrông,Sê San,Quảng Ngãi,2025-11-10 19:00,570.0,Len,,,,,,,,107.85950995539754,14.423421537287576,1048.69,1048.7,100.0,,106.0,570.0,573.4,1.0,62.0,4.0
Lake,467D6521-FEAE-40F3-BC73-8E4B0B1F598F,Pleikrông,Sê San,Quảng Ngãi,2025-11-11 19:00,569.97,Xuong,,,,,,,,107.85950995539754,14.423421537287576,1047.17688,1048.7,99.85,,108.0,570.0,573.4,1.0,62.0,4.0
Lake,467D6521-FEAE-40F3-BC73-8E4B0B1F598F,Pleikrông,Sê San,Quảng Ngãi,2025-11-12 19:00,569.98,BinhThuong,,,,,,,,107.85950995539754,14.423421537287576,1047.68115,1048.7,99.9,,20.0,570.0,573.4,1.0,62.0,4.0
Lake,467D6521-FEAE-40F3-BC73-8E4B0B1F598F,Pleikrông,Sê San,Quảng Ngãi,2025-11-13 19:00,570.0,BinhThuong,,,,,,,,107.85950995539754,14.423421537287576,1048.69,1048.7,100.0,,45.0,570.0,573.4,1.0,62.0,4.0
Lake,467D6521-FEAE-40F3-BC73-8E4B0B1F598F,Pleikrông,Sê San,Quảng Ngãi,2025-11-14 19:00,570.0,BinhThuong,,,,,,,,107.85950995539754,14.423421537287576,1048.69,1048.7,100.0,,53.0,570.0,573.4,1.0,62.0,4.0
Lake,467D6521-FEAE-40F3-BC73-8E4B0B1F598F,Pleikrông,Sê San,Quảng Ngãi,2025-11-15 19:00,569.97,BinhThuong,,,,,,,,107.85950995539754,14.423421537287576,1047.17688,1048.7,99.85,,13.0,570.0,573.4,1.0,62.0,4.0
Lake,53e42d94-1faa-4029-93f0-739f8f5da487,SeSan4,Sê San,Gia Lai,2025-11-10 19:00,214.43,BinhThuong,,,,,,,,107.65974261063823,14.080062409993248,863.2208,893.3,96.63,,112.0,215.0,217.86,1.0,64.0,4.0
